到家: 我刚嘎游到家这点猫家最爽
回复: 回复//////今年可能还会有消失的只有坚持创新创意的公司才能走出艰难的日子////
可能: 剩者为王//今年可能还会有消失的只有坚持创新创意的公司才能走出艰难的日子////
小镇: #小镇猜灯谜#&lt;/a破除迷信的人打一字地址
喜欢: 偶灰常喜欢猜灯谜
美滴: 美滴很
大作: 先转慢慢拜读大作//作业请查收
什么: 想什么呢我是说花开时众好友欢聚洛阳//回复//总你要赵学武皇不成偷笑真热闹哈牡丹花早点开吧哈哈//总是赵洛阳老乡现在周总公司请兄台多多关照
北京: #北京居住证制度#&lt;/a不管怎么说这也是一种进步
恭喜: 恭喜李总入驻全经联家园哈哈转发来自
热闹: 真热闹哈牡丹花早点开吧哈哈//总是赵洛阳老乡现在周总公司请兄台多多关照//回复
大家庭: 热烈欢迎李总加入大家庭威武有幸加入全国房地产经理人联盟和各位兄弟姐妹交流和学习实在是一件即快乐又惬意的事情原所有全经联人事业精进身体健康也给大家拜个晚年今后还请多多关照@
之星: 第104期全经联之星赵四海他爱足球爱房地产爱交朋友想了解走进他请点击
漂亮: 好漂亮啊感谢为大家送上的小镇模型拼图抱抱
很有: 很有歉钱头脑哈//哈哈//哈哈
嘉宾: 非诚勿挠的女嘉宾身陷宝马车纠纷找对像的男人伤不起啊司马南脖子好了吗
朋友: 朋友是风朋友雨有是了朋友才能够呼风唤雨多交朋友交良友
2012: 2012年之龙行天下畅想
有点: 有点意思//这个咋样//
11: //11
广告: 不要充斥太多低俗的拙劣广告商业社会是无法避免广告的//希望微博不要充斥太多的广告否则就是对这个新生事物的巨大扼杀对微博来说一个好的生态环境才能让大家共赢//回复
回复: 说的好//////回复
中国: 绿城中国的杠杆化生存分享自
回复: 回复//
怎么: 怎么感觉像让子弹飞哈//真帅气~
过年: 过年在老家多亏有了手机伴侣走到哪里都不怕手机没电了//伴随气温低等各种情况还存在充不进去电的时候还是是带着i手机伴侣好走到哪冲到哪
漂亮: 好漂亮的婚车
老人家: 祝老人家早日康复龙年生活快乐
房地产: 房地产微博营销发展更快
小时: 我小时候也玩过哈很有意思很难忘的童年乐事
欢迎: 欢迎周总加入组织并邀请他尽快开通微博哈哈//欢迎周总加入全经联//赞来自
三个: 三个男人同时插队不太文明啊//哈哈看细节哈哈//
过年: 偶也赶上了明年过年还接着免费吧哈哈
国家: 国家富强人民安乐//善待尊重所有人//善待他人也是善待自己.//善待他人也是善待自己大家生日快乐//祝全人类生日快乐
一个: 赞一个////
红灯笼: 要红包喽//放鞭炮brd谨brd贺brd新brd年放鞭炮放鞭炮大红灯笼大红灯笼
更新: 我刚更新了新浪微博iPhone客户端v2.9.0推荐你也一起来体验新增五套彩色主题增加夜间模式支持点击导航按键首页和消息刷新内容登录界面语言切换功能还有GIF图片标识哦快快更新吧
回复: 回复//跟着张老师给全经联的朋友们拜年张老师拜年我在后面收红包哈
联网: 上班第一天给全经联网的朋友们拜年啦祝愿大家龙年大吉大利
不错: 喝酒还需要加强锻炼哈//这顿吃的确是不错可惜喝高了把好东西都捐献给金丰和的土地~泪了////////呵呵全经联网聚餐啊祝你们小年快乐哦
离地: 付哥脚还没离地呐//其实付哥没你们想象的那么沉真的~来自
七天: 七天假期够不够节后上班爽不爽同事们都上班啦没有因为够不到车票而请假的看来实名制对春运帮助不小啊
今天: 今天路上车少的不敢相信早到单位啦新年开工大吉亲爱的朋友们酷
免费: 免费通行太棒了支持一下
高速: 大广高速车不多今天回京
北方: 在北方过春节一定要能吃凉菜今天去舅舅家走亲戚凉菜十五个哈哈
新春: 新春同乐
开始: 在春睌开始前为为我三千多位粉丝朋友送上新年最为美好的祝福祝大家龙年大吉合家欢乐都是是好朋友就不
good: good
可爱: 超可爱
同学聚会: 同学聚会安排在了大年初一从这天开始连续五天天天局胃有能吃的消否酷
老妈: 老妈做的红薯丸子馋嘴#WeicoLomo#&lt;/a
在家: 在家就全幅武装真冷啊#WeicoLomo#&lt;/a
ok: ok////
新年: 新年同乐//
怎么: 还没到除夕怎么就热闹上啦
老妈: 坐等老妈做好吃的真是是开心呐嘻嘻
回复: 什么时间搞仪式除夕还是是大年初一//回复//
乡下: 在乡下过年也会遭遇堵车之苦路上人车混行还有点不太适应哼
行天下: 龙行天下//祝全经联网的同事们龙年大吉
回家: 一定回家过年
大家: 祝大家新年快乐//祝郭总及全经联所有同仁龙年大吉//发红包////祝郭總新春快樂祝全經聯的兄弟姐妹們新春快樂
老爸: 刚陪同老爸购置年货仿佛又回少年时在老家过年真有年味另物价在年跟都很高哈
一切: 新年快乐//一切尘埃落定心里还是是无限失落朋友我在2012会赋予这个形容词一个新的理解珍惜该珍惜的放弃该放弃的//抓狂
good: good//欢迎小魏下次来参会
聚会: 春节聚会大家拼酒无法避免胃受不了啦抓狂
哈哈: 哈哈//说一个美国人日本人中国人在非洲被抓了每人打100棍过年了允许提一个要求地上有30个垫子美国人要10个垫在屁股上打了个半死日本把剩下的20个全垫上了毫发无损轮到中国人了哥们说把日本人给我垫上
值班: 是去值班吗
回复: 在什么地方国总//回复//
美味: 美味佳品//洗了了整整四个小时
寻找: 寻找刘晓燕王艺欢唢呐串烧父母超级喜欢听有这方面的朋友知道哪里能买到请告知鼓掌
这个: //这个绝对是好东东值得拥有
孩子: 为了了孩子无奈的选择
喜糖: 回去送喜糖给您//偶也没去成听说你回去结婚了恭喜//委屈//嘻嘻哈哈哈哈嘻嘻哈哈哈哈哈哈哈哈//
哈哈: 偶没去诚啊委屈//嘻嘻哈哈哈哈嘻嘻哈哈哈哈哈哈哈哈//
大家: 过节前到处走亲访友大家聊的最多的是如何多赚钱村子里小轿车很多车牌也是全国各地都有有忽然感觉新农民生活真不错亲亲
ok: ok
good: good//郑汴一体化中部崛起的标志性工程中央支持地方方推动百姓受益
爱心: 心//爱心传递//幸福的小盆友good//回复京汉置业年会邀请了京汉捐建的希望小学的小盆友什么晚宴公益
回家: 回家数日深感农村变化巨大新农村建设正在大力推进县城房价已是两年前的一两倍普遍在两千到三千元郑州和开封一体化发展成效显著
漂亮: 漂亮年会中大奖哈哈哈
村办: 春节是农村办婚礼的旺季回家五天赶场四场啦龙年的宝宝少不了嘻嘻
想起: //想起最近非你莫属那点事真是是点睛之语啊
农家小院: 坐在在农家小院独享一份安宁忙碌的都市人该回家过年啦#WeicoLomo#&lt;/a
真功夫: 真功夫饱餐一顿爽郑州堵车可以跟北京相比啦
明天: 明天从开封去郑州忙碌的团团转抓狂
古都: 古都都开封//咦杨家将的府邸么这是是在哪
在这: 我在这里
一同: 一同怀念周总理
大广: 大广高速比想像的好走哈哈
李玉: 李玉刚徒弟为年会献唱
会员: 为会员服务
lt: lt;走进全经联gt;歌曲唱响年会#WeicoLomo#&lt;/a
哈哈: 同问哈哈
现场: 在现场没//真热闹
传奇: 献唱传奇
精英: 全经联精英人才计划启动#WeicoLomo#&lt;/a
哈哈: 哈哈//转发微博
春天: 春天正向我们走来
good: good哈哈//是的ok
房地产: 房地产网络全案悄然兴起
房地产: #全国房地产经理人年会#&lt;/a途家的出现会为旅游地产注入源源动力
房地产: #全国房地产经理人年会#&lt;/a途家罗总作主题演讲中国旅游地产现状
房地产: #全国房地产经理人年会#&lt;/a首届中国房地产经理人论坛开幕
年会: 全经联年会开始数百名地产老总欢聚一堂
生活: 我晚睡早起是因为我习惯了这样的生活
昨日: 昨日在漫步游走随拍
阿郎: 我是阿郎的朋友来二十斤//我是山西郎来的二十斤//帮我代购十斤
湖南: 湖南某些地方也这样的习俗//还唱卡拉OK咧
期待: 期待//quot;才高八斗学富五车.组织对金总的信任源于对实力的赞许
ok: ok
good: good
怎么: 怎么就亏钱了呢挖鼻屎//表面上看他赚了2块钱实际亏了1块钱这是给中国散户和房奴们看的//吃惊
冬日: 冬日午后的小镇美丽依旧
我们: 我们在
掌上: 掌上上新房这个软件不错推荐给大家下载
恭喜: 林总威武恭喜林总
漂亮: 好漂亮的小镇拼图偶也想要一个
一起: 还记得陪同总一起到访小镇品鉴的时候吴总更是对小镇给以了很高的评价
强大: 自身强大才能在江湖上力挽狂澜//回复//
下午: 下午在全经联总部召开年会分工协调会秘书处志愿者悉数到场这让我想到了一首歌团结就是是力量秘书处志愿者各地会员大家纷纷为年会的召开出力出策很令人感动1月7日让我们一起欢聚北京全经联年会
回复: 回复//
欢迎: 欢迎全国的地产人欢聚北京
快乐: 必须快乐////快乐是必须滴握手
云集: 最近战争片云集大过年的普及爱国教育吗
吃饺子: 吃饺子有腊八蒜特不錯上班时就別这么吃啦偷笑
朝阳: 走起逛朝阳大悦城.给力
阳光: 阳光透过窗口直接照进来窝在沙发上犯困打哈气#WeicoLomo#&lt;/a
朋友们: 新年里祝所有的朋友们开心快乐起床啦哈哈
快乐: 新心年快乐事业发达good
大家: 大家都元旦快乐//回复////
怎么: 怎么拿到票//这是25年一遇的一次评剧盛会//很想参加啊时间上不允许了//
时间: 很想参加啊时间上不允许了//
可爱: 好可爱的小么女和萌哥哥//上海冷不等你直播呢////
时光: 时光飞逝只争朝夕2011就将过去在过去的一年中你还有有什么想做却没做的事情吗
回复: 回复哈哈//可以以同时冲两个吗
起名: 起名的确很重要哈哈
的人: 说的好//尊敬不喜欢你的人做到这一点要有一颗宽容公正的心凡是能站在公理上计较而不是好恶尊敬是因为他的德才而不是因为他对你的态度
欢迎: 欢迎全国的地产同仁参会//围观//#中房论坛#&lt;/a的主题演讲向多功能服务商转型做社会最需要的事业//欢迎参会期待与全国行业精英交流学习
恭喜: 恭喜周唐盛世广告获奖希望为2012年客户创造更多价值助力行业转型//祝贺围观//
策略: 周总说的很对策略导向对项目非常重要.
地产: 年地产年度事件发布中#WeicoLomo#&lt;/a
地产: 地产年度风云榜开启
人民: 去人民大会堂路上用手机伴侣给两个大块头充电酷
盛世: 周唐盛世广告是京城十大地产广告品牌周总更是地产广告资深专家//客气了后生才是希望我只是亲历而已还在在努力前行中
回复: 回复////值得期待的日子
ok: //ok赞//祝贺//
年会: 年会一定要来欢聚
恭喜: 恭喜郭莹辉担任全经联园区地产委员会筹主任北科建在科技地产细分领域已经成为领导品牌
业内: 万众瞩目的业内同仁欢聚的时刻//值得期待的日子
价格: 终于解惑了//供求关系决定价格大道至简
希望: 己漂雪啦希望来一场大雪瑞雪兆丰年
时光: 明年也不好过啊//到一定时光政府又难以收场//////
天桥: 上班必经的天桥通道上躺着一个残疾人看样子不像职业乞讨着要下雪了这样下去回被冻坏的为他祈福
good: good
回复: 回复总很喜欢这是是不是说明你摄影水平不错尼//嘻嘻//
走向: 从成熟走向成功2012让我们一起做的更好
怀柔: 怀柔的变化真是快啊//到雁栖湖北京国际会都给给G20峰会准备//怀柔的诱惑
都不: 我也不开车了//不醉不归我连车都不开了//回复哈哈//一月七日我们聚
冬天: 冬天干燥容易易上火痛苦的很呐嗓子疼
回复: 回复哈哈//一月七日我们聚
完全: 完全赞同
老大: 老大带头狂欢大家怎么能不开心呢哈哈
选择: B户型-户型选择-这个户型看着不错啊各位专家们都来来评论下北京风景网
新龙: 新龙龙地产简介-楼盘新闻-北京风景网
回复: 回复//////
回复: 回复//抓狂
房地产: #2011全国房地产经理人年会#&lt;/a欢迎大家参会
回复: 回复//
恭喜: 恭喜哈
回复: 回复//
回复: 回复哈哈//////好像陈志秘书长也有一个不知道什么品牌的//太有才了手机伴侣要火啊
回复: 回复//对啊是什么牌子的////太有才了手机伴侣要火啊
手机: 也是i手机伴侣//好像陈志秘书长也有一个不知道什么品牌的//太有才了手机伴侣要火啊//一睁眼一闭眼一块电池没有了从看到老师刚把微博看到高兴处一块电池又没有了谢谢这小东西救命啊
手机: 太有才了手机伴侣要火啊//一睁眼一闭眼一块电池没有了从看到老师刚把微博看到高兴处一块电池又没有了谢谢这小东西救命啊不然家里领导来电话接不到大事啊哈哈怎么样#一睁眼一闭眼体#&lt;/a
香港: 香港著名实业家霍英东家族争产案霍英东两公子法庭相驳香港著名实业家已故全国政协副主席霍英东的家族发生争产长房三子霍震宇12月20日向香港高院提出申述指控二哥霍震寰侵吞遗产至少14亿
学学: //学学人家的标题策划怎么就这么有才呢太劲道了
小宝: 小宝真可爱啊
女人: 不要试图用一句话总结女人每个女人都是是一部史记//貌似木用//忘说挨着蛋壳那层白色了/的/又一个与鸡蛋有关的段子
蛋壳: 貌似对吗//忘说挨着蛋壳那层白色了/的/
分享: 分享了一篇文章2011全国房地产经理人年会即将举办
SOHO: SOHO之乱要引发行业思考啊什么席位销售模式就是是压榨//////哈哈////值得关注的新闻
复合: 复合地产模式是创新发展的成果//大家都看好多产业下的复合地产模式呀尤其是#东方方园林#&lt;/a优势明显呀可谓蓄能较足的跨业态多元化发展商之一
回复: 回复团长多交流下他也有这方面的想法目前也在了解北京周边的贫困村落看看有没有可以一起做的可能//
希望: 希望能给贫困地区的孩子送一些
回复: 回复////
好运气: 两位盆友可真是好运气小镇的明信片可是限量版的值得收藏2012年更值得到小镇去观光休闲度假
去年: 可惜可惜我去年没收到期盼今年能收到//陈哥每一次的新年明信片已成为我辞旧迎新的最好纪念
广告: 广告老兵地产老侠足球先生
准时: 均已收到准时参会//朱老师张存杰老师都已经收到
希望: //关注希望媒体都行动起来支持所做的工作////用的这两张照片是我发的照片上应该有印记呀这房子确实该修一下了
大家: 一句盖好房子做好人让大家牢牢的记住了京汉这个地产企业////
事情: 共勉//////用最少的话把事情说清楚当日事当日毕共勉//
舞蹈: 狗牙山山脊的舞蹈[北京]分享自看看地产行业的野驴们都是谁
2011: 2011中国房地产媒体专业影响力调查火热进行中看看那些媒体是房地产经理人最认可的
幸福: 很幸福
商场: 圣诞节商场打折很厉害有空带上家人多逛逛围脖心
快乐: 圣诞树圣诞树//圣诞节快乐圣诞帽祝
大家: 祝大家圣诞快乐哈哈
美女: 全是是美女哦
想要: 我想要一份小镇的明信片在新年来到之际送给故乡的小学同学地址
活动: 我在活动quot;分享圣诞美图免费赢顶秀美泉小镇精美明信片quot;分享了照片大家也来看看吧#圣诞免费明信片#&lt;/a
北五环: 北五环又堵了
学习: 收了了学习//年终总结五要素标题要对引言要精总结要全不足要准改进要实有有范本啦右哼哼左哼哼
